Asset_Number_AR,Asset_Description_AR,Category,Model_No,Model_Description,Colour_Scheme,Easting_Coord,Northing_Coord
1078925,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,Hawthorn Green,321108.3279,5812339.752
1078926,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320590.2314,5812247.591
1078927,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,321175.9936,5813605.909
1078928,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320590.1819,5812250.03
1078929,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320629.1272,5812211.188
1078930,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320649.9563,5812217.207
1078931,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320661.4675,5812222.676
1078932,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320673.5477,5812228.465
1078933,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320684.1272,5812231.814
1078934,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320585.9353,5812204.819
1078935,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320586.4218,5812207.379
1078936,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320597.4383,5812206.729
1078937,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320608.8671,5812208.189
1078939,Seat - Semi-circular Bluestone Bench,Seat,201101-022,Seat - Semi-circular Bluestone Bench,,320279.2218,5812622.016
1078941,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321016.4771,5814306.689
1078942,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321018.1758,5814321.496
1078943,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,320955.7463,5813960.418
1078944,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321135.6465,5814433.174
1078945,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321012.28,5814446.591
1078946,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321017.8872,5814492.902
1078947,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321019.7178,5814510.038
1078948,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321022.843,5814540.292
1078949,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321042.4269,5814539.272
1078950,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,Other,320958.4014,5814339.842
1078951,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,Dark Brunswick Green,320472.5875,5812572.476
1078952,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321038.9801,5814507.239
1078953,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321028.0214,5814411.408
1078954,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321031.6578,5814443.122
1078955,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321037.298,5814491.762
1078956,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321057.8714,5814667.397
1078957,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,Dark Brunswick Green,320478.0463,5812555.949
1078958,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,320985.8025,5814218.427
1078959,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321000.1421,5814160.248
1078960,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321004.8669,5814382.594
1078961,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321054.5648,5814641.012
1078962,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321050.9779,5814607.859
1078963,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321036.3167,5814658.049
1078964,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321034.5109,5814643.692
1078965,Seat - Metal Semi-circular Seats,Seat,201101-021,Seat - Metal Semi-circular Seats,,321030.66,5814609.968
1078966,Seat - Semi-circular Seats - Wooden Battens,Seat,201101-024,Seat - Semi-circular Seats - Wooden Battens,,320306.7795,5813600.57
1078967,Seat - Semi-circular Seats - Wooden Battens,Seat,201101-024,Seat - Semi-circular Seats - Wooden Battens,,320289.0014,5813594.171
1078968,Seat - Semi-circular Seats - Wooden Battens,Seat,201101-024,Seat - Semi-circular Seats - Wooden Battens,,320295.5486,5813596.541
1078969,Seat - Stainless Steel Straight Seat,Seat,201101-027,Seat - Stainless Steel Straight Seat,,321314.2439,5813066.507
1078970,Seat - Stainless Steel Straight Seat,Seat,201101-027,Seat - Stainless Steel Straight Seat,Stainless Steel,321356.8751,5813063.797
1078971,Seat - Stainless Steel Straight Seat,Seat,201101-027,Seat - Stainless Steel Straight Seat,Stainless Steel,321384.8039,5812993.692
1078972,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,,320688.5882,5812945.991
1078973,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,,320689.52,5812943.672
1078974,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,,320691.3423,5812948.83
1078975,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,,320693.5357,5812949.66
1078976,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,Dark Brunswick Green,320364.748,5813602.49
1078977,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,Dark Brunswick Green,320377.3559,5813621.866
1078978,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,Hawthorn Green,320765.5057,5813315.907
1078979,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,Hawthorn Green,321011.2245,5812734.513
1078981,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,Hawthorn Green,320837.352,5813179.134
1078982,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,Hawthorn Green,321015.1908,5812670.846
1078983,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,Hawthorn Green,320920.7838,5812963.388
1078984,Seat - Straight Back to Back - Metal,Seat,201101-034,Seat - Straight Back to Back - Metal,,320699.3985,5812950.1
