Asset_Number_AR,Asset_Description_AR,Category,Model_No,Model_Description,Colour_Scheme,Easting_Coord,Northing_Coord,latitude,longitude
1078925,Seat - Metal Seat,Seat,201101-016,Seat - Metal Seat,Hawthorn Green,321108.3279,5812339.752,-37.8188310528,144.96754437
1078926,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320590.2314,5812247.591,-37.8195594936,144.961638662
1078927,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,321175.9936,5813605.909,-37.8074393949,144.968625339
1078928,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320590.1819,5812250.03,-37.8195375147,144.961638704
1078929,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320629.1272,5812211.188,-37.8198950374,144.9620713
1078930,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320649.9563,5812217.207,-37.8198449149,144.962309304
1078931,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320661.4675,5812222.676,-37.8197979151,144.962441368
1078932,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320673.5477,5812228.465,-37.8197481446,144.962579971
1078933,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320684.1272,5812231.814,-37.8197200573,144.96270093
1078934,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320585.9353,5812204.819,-37.8199439161,144.961579281
1078935,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320586.4218,5812207.379,-37.8199209527,144.961585439
1078936,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320597.4383,5812206.729,-37.8199289731,144.96171037
1078937,Seat - Metal Seat - Park Type,Seat,201101-019,Seat - Metal Seat - Park Type,,320608.8671,5812208.189,-37.8199180687,144.961840505
